"item_name","item_text"
"CIP_01_decision","6. ¿Qué tan decidido te sentís actualmente sobre tu futuro (carrera). (CIP SHORT 1)"
"CIP_02","7. ¿Qué tan importante es tomar o rehacer una decisión sobre tu carrera en este momento? (CIP SHORT 2)"
"CIP_CC01","8. A menudo me siento desanimado por tener que tomar una decisión sobre mi carrera"" (CC1)"
"CIP_CC02","9. Debo conocer más sobre mí mismo antes de tomar una decisión sobre mi carrera (CC2)"
"CIP_CC03","10. ""Es difícil para mí elegir una carrera porque me gustan muchas cosas"". (CC3)"
"CIP_CC04","11. ""No estoy seguro de poder comprometerme a una carrera específica porque no sé qué otras opciones pueden haber"". (CC4)"
"CIP_CC05","12. ""Me preocupa que mis metas puedan cambiar después de elegir una carrera."" (CC5)"
"CIP_LR01","13. ""Estoy bastante seguro de que seré capaz de superar los obstaculos para tener la carrera que quiero."" (LR1)"
"CIP_LR02","14. ""Trato de sobresalir en todo lo que hago."" (LR2)"
"CIP_LR03","15. ""Seré capaz de encontrar una carrera y ocupación que se ajuste a mis intereses"". (LR3)"
"CIP_LR04","16. ""Siempre trabajo productivamente para hacer un trabajo o tarea."" (LR4)"
"CIP_LR05","17. ""Me siento bastante seguro de que seré capaz de encontrar una carrera donde pueda desempeñarme bien."" (LR5)"
"CIP_IC01","18. ""Si elijo la carrera que me interesa, iría en contra de los deseos de alguien que es importante para mí."" (IC1)"
"CIP_IC02","19. ""Personas importantes para mí me dan información contradictoria sobre la carrera que debería seguir."" (IC2)"
"CIP_IC03","20. ""Las personas importantes en mi vida no apoyan mi plan de carrera o trabajo"" (IC3)"
"CIP_IC04","21. ""Las personas importantes en mi vida están no acuerdan con la carrera que quiero seguir."" (IC4)"
"CIP_IC05","22. ""Las personas importantes en mi vida no me apoyan económicamente en relación a la carrera que quiero"". (IC5)"
"CIP_NNA01","23. ""Si experimento algún inconveniente me toma mucho tiempo sentirme bien de nuevo."" (NNA1)"
"CIP_NNA02","24. ""Me siento avergonzado fácilmente"" (NNA2)"
"CIP_NNA03","25. ""Me es realmente difícil tomar decisiones sin ayuda"" (NNA3)"
"CIP_NNA04","26: ""A menudo, me siento asustado y ansioso."" (NNA4)"
"CIP_NNA05","27. ""A menudo me siento inseguro."" (NNA5)"
