"ID","item_name","value"
"VB007","CIP_01_decision",5
"VB007","CIP_02",3
"VB007","CIP_CC01",1
"VB007","CIP_CC02",4
"VB007","CIP_CC03",4
"VB007","CIP_CC04",1
"VB007","CIP_CC05",1
"VB007","CIP_LR01",5
"VB007","CIP_LR02",5
"VB007","CIP_LR03",5
"VB007","CIP_LR04",5
"VB007","CIP_LR05",4
"VB007","CIP_IC01",1
"VB007","CIP_IC02",4
"VB007","CIP_IC03",1
"VB007","CIP_IC04",5
"VB007","CIP_IC05",1
"VB007","CIP_NNA01",1
"VB007","CIP_NNA02",1
"VB007","CIP_NNA03",1
"VB007","CIP_NNA04",1
"VB007","CIP_NNA05",2
"VB007","CIP_CC_score",11
"VB007","CIP_LR_score",24
"VB007","CIP_IC_score",12
"VB007","CIP_NNA_score",6
"VB008","CIP_01_decision",6
"VB008","CIP_02",3
"VB008","CIP_CC01",1
"VB008","CIP_CC02",1
"VB008","CIP_CC03",1
"VB008","CIP_CC04",1
"VB008","CIP_CC05",3
"VB008","CIP_LR01",5
"VB008","CIP_LR02",5
"VB008","CIP_LR03",5
"VB008","CIP_LR04",5
"VB008","CIP_LR05",5
"VB008","CIP_IC01",5
"VB008","CIP_IC02",2
"VB008","CIP_IC03",1
"VB008","CIP_IC04",1
"VB008","CIP_IC05",1
"VB008","CIP_NNA01",2
"VB008","CIP_NNA02",1
"VB008","CIP_NNA03",1
"VB008","CIP_NNA04",1
"VB008","CIP_NNA05",1
"VB008","CIP_CC_score",7
"VB008","CIP_LR_score",25
"VB008","CIP_IC_score",10
"VB008","CIP_NNA_score",6
"VB009","CIP_01_decision",3
"VB009","CIP_02",5
"VB009","CIP_CC01",3
"VB009","CIP_CC02",4
"VB009","CIP_CC03",2
"VB009","CIP_CC04",4
"VB009","CIP_CC05",3
"VB009","CIP_LR01",4
"VB009","CIP_LR02",3
"VB009","CIP_LR03",4
"VB009","CIP_LR04",4
"VB009","CIP_LR05",4
"VB009","CIP_IC01",1
"VB009","CIP_IC02",2
"VB009","CIP_IC03",1
"VB009","CIP_IC04",1
"VB009","CIP_IC05",1
"VB009","CIP_NNA01",2
"VB009","CIP_NNA02",2
"VB009","CIP_NNA03",3
"VB009","CIP_NNA04",2
"VB009","CIP_NNA05",2
"VB009","CIP_CC_score",16
"VB009","CIP_LR_score",19
"VB009","CIP_IC_score",6
"VB009","CIP_NNA_score",11
"VB010","CIP_01_decision",5
"VB010","CIP_02",3
"VB010","CIP_CC01",3
"VB010","CIP_CC02",4
"VB010","CIP_CC03",5
"VB010","CIP_CC04",5
"VB010","CIP_CC05",4
"VB010","CIP_LR01",4
"VB010","CIP_LR02",2
"VB010","CIP_LR03",4
"VB010","CIP_LR04",2
"VB010","CIP_LR05",3
"VB010","CIP_IC01",2
"VB010","CIP_IC02",1
"VB010","CIP_IC03",1
"VB010","CIP_IC04",1
"VB010","CIP_IC05",1
"VB010","CIP_NNA01",4
"VB010","CIP_NNA02",4
"VB010","CIP_NNA03",4
"VB010","CIP_NNA04",4
"VB010","CIP_NNA05",5
"VB010","CIP_CC_score",21
"VB010","CIP_LR_score",15
"VB010","CIP_IC_score",6
"VB010","CIP_NNA_score",21
"VB011","CIP_01_decision",2
"VB011","CIP_02",5
"VB011","CIP_CC01",5
"VB011","CIP_CC02",5
"VB011","CIP_CC03",2
"VB011","CIP_CC04",4
"VB011","CIP_CC05",4
"VB011","CIP_LR01",2
"VB011","CIP_LR02",5
"VB011","CIP_LR03",4
"VB011","CIP_LR04",4
"VB011","CIP_LR05",4
"VB011","CIP_IC01",1
"VB011","CIP_IC02",1
"VB011","CIP_IC03",1
"VB011","CIP_IC04",1
"VB011","CIP_IC05",1
"VB011","CIP_NNA01",4
"VB011","CIP_NNA02",5
"VB011","CIP_NNA03",3
"VB011","CIP_NNA04",4
"VB011","CIP_NNA05",3
"VB011","CIP_CC_score",20
