"ID","item_name","value"
"VB007","CIP_01_decision",5
"VB007","CIP_02",3
"VB007","CIP_CC01",1
"VB007","CIP_CC02",4
"VB007","CIP_CC03",4
"VB007","CIP_CC04",1
"VB007","CIP_CC05",1
"VB007","CIP_CC_score",11
"VB008","CIP_01_decision",6
"VB008","CIP_02",3
"VB008","CIP_CC01",1
"VB008","CIP_CC02",1
"VB008","CIP_CC03",1
"VB008","CIP_CC04",1
"VB008","CIP_CC05",3
"VB008","CIP_CC_score",7
"VB009","CIP_01_decision",3
"VB009","CIP_02",5
"VB009","CIP_CC01",3
"VB009","CIP_CC02",4
"VB009","CIP_CC03",2
"VB009","CIP_CC04",4
"VB009","CIP_CC05",3
"VB009","CIP_CC_score",16
"VB010","CIP_01_decision",5
"VB010","CIP_02",3
"VB010","CIP_CC01",3
"VB010","CIP_CC02",4
"VB010","CIP_CC03",5
"VB010","CIP_CC04",5
"VB010","CIP_CC05",4
"VB010","CIP_CC_score",21
"VB011","CIP_01_decision",2
"VB011","CIP_02",5
"VB011","CIP_CC01",5
"VB011","CIP_CC02",5
"VB011","CIP_CC03",2
"VB011","CIP_CC04",4
"VB011","CIP_CC05",4
"VB011","CIP_CC_score",20
"VB012","CIP_01_decision",3
"VB012","CIP_02",6
"VB012","CIP_CC01",3
"VB012","CIP_CC02",5
"VB012","CIP_CC03",4
"VB012","CIP_CC04",4
"VB012","CIP_CC05",5
"VB012","CIP_CC_score",21
"VB013","CIP_01_decision",1
"VB013","CIP_02",4
"VB013","CIP_CC01",4
"VB013","CIP_CC02",2
"VB013","CIP_CC03",1
"VB013","CIP_CC04",3
"VB013","CIP_CC05",2
"VB013","CIP_CC_score",12
"VB014","CIP_01_decision",2
"VB014","CIP_02",4
"VB014","CIP_CC01",4
"VB014","CIP_CC02",5
"VB014","CIP_CC03",4
"VB014","CIP_CC04",4
"VB014","CIP_CC05",2
"VB014","CIP_CC_score",19
"VB015","CIP_01_decision",5
"VB015","CIP_02",6
"VB015","CIP_CC01",2
"VB015","CIP_CC02",5
"VB015","CIP_CC03",1
"VB015","CIP_CC04",3
"VB015","CIP_CC05",1
"VB015","CIP_CC_score",12
"VB016","CIP_01_decision",4
"VB016","CIP_02",6
"VB016","CIP_CC01",5
"VB016","CIP_CC02",5
"VB016","CIP_CC03",4
"VB016","CIP_CC04",5
"VB016","CIP_CC05",5
"VB016","CIP_CC_score",24
"VB017","CIP_01_decision",3
"VB017","CIP_02",4
"VB017","CIP_CC01",4
"VB017","CIP_CC02",5
"VB017","CIP_CC03",5
"VB017","CIP_CC04",5
"VB017","CIP_CC05",5
"VB017","CIP_CC_score",24
"VB018","CIP_01_decision",5
"VB018","CIP_02",5
"VB018","CIP_CC01",4
"VB018","CIP_CC02",4
"VB018","CIP_CC03",2
"VB018","CIP_CC04",4
"VB018","CIP_CC05",5
"VB018","CIP_CC_score",19
"VB019","CIP_01_decision",5
"VB019","CIP_02",6
"VB019","CIP_CC01",4
"VB019","CIP_CC02",2
"VB019","CIP_CC03",4
"VB019","CIP_CC04",2
"VB019","CIP_CC05",4
"VB019","CIP_CC_score",16
"VB020","CIP_01_decision",3
"VB020","CIP_02",6
"VB020","CIP_CC01",3
"VB020","CIP_CC02",5
"VB020","CIP_CC03",4
"VB020","CIP_CC04",4
"VB020","CIP_CC05",4
"VB020","CIP_CC_score",20
"VB021","CIP_01_decision",4
"VB021","CIP_02",6
"VB021","CIP_CC01",4
"VB021","CIP_CC02",5
"VB021","CIP_CC03",4
"VB021","CIP_CC04",5
"VB021","CIP_CC05",4
"VB021","CIP_CC_score",22
"VB022","CIP_01_decision",4
"VB022","CIP_02",3
"VB022","CIP_CC01",2
"VB022","CIP_CC02",4
"VB022","CIP_CC03",1
"VB022","CIP_CC04",2
"VB022","CIP_CC05",4
"VB022","CIP_CC_score",13
"VB023","CIP_01_decision",2
"VB023","CIP_02",4
