"ID","item_number","item_name","response","response_inverted"
"VB007","28","unpred_life_1_year",8,3
"VB007","29","unpred_future_general",8,3
"VB007","30","unpred_future_economy",9,2
"VB007","31","unpred_future_study",8,3
"VB007","32","unpred_future_work",8,3
"VB007","33","unpred_future_family",7,4
"VB007","34","unpred_future_friends",7,4
"VB008","28","unpred_life_1_year",9,2
"VB008","29","unpred_future_general",8,3
"VB008","30","unpred_future_economy",9,2
"VB008","31","unpred_future_study",8,3
"VB008","32","unpred_future_work",10,1
"VB008","33","unpred_future_family",10,1
"VB008","34","unpred_future_friends",9,2
"VB009","28","unpred_life_1_year",4,7
"VB009","29","unpred_future_general",4,7
"VB009","30","unpred_future_economy",4,7
"VB009","31","unpred_future_study",7,4
"VB009","32","unpred_future_work",5,6
"VB009","33","unpred_future_family",9,2
"VB009","34","unpred_future_friends",7,4
"VB010","28","unpred_life_1_year",4,7
"VB010","29","unpred_future_general",2,9
"VB010","30","unpred_future_economy",6,5
"VB010","31","unpred_future_study",8,3
"VB010","32","unpred_future_work",3,8
"VB010","33","unpred_future_family",8,3
"VB010","34","unpred_future_friends",7,4
"VB011","28","unpred_life_1_year",4,7
"VB011","29","unpred_future_general",4,7
"VB011","30","unpred_future_economy",6,5
"VB011","31","unpred_future_study",5,6
"VB011","32","unpred_future_work",5,6
"VB011","33","unpred_future_family",9,2
"VB011","34","unpred_future_friends",7,4
"VB012","28","unpred_life_1_year",7,4
"VB012","29","unpred_future_general",6,5
"VB012","30","unpred_future_economy",7,4
"VB012","31","unpred_future_study",6,5
"VB012","32","unpred_future_work",5,6
"VB012","33","unpred_future_family",9,2
"VB012","34","unpred_future_friends",9,2
"VB013","28","unpred_life_1_year",1,10
"VB013","29","unpred_future_general",5,6
"VB013","30","unpred_future_economy",5,6
"VB013","31","unpred_future_study",5,6
"VB013","32","unpred_future_work",6,5
"VB013","33","unpred_future_family",9,2
"VB013","34","unpred_future_friends",8,3
"VB014","28","unpred_life_1_year",2,9
"VB014","29","unpred_future_general",3,8
"VB014","30","unpred_future_economy",2,9
"VB014","31","unpred_future_study",2,9
"VB014","32","unpred_future_work",1,10
"VB014","33","unpred_future_family",4,7
"VB014","34","unpred_future_friends",4,7
"VB015","28","unpred_life_1_year",7,4
"VB015","29","unpred_future_general",6,5
"VB015","30","unpred_future_economy",5,6
"VB015","31","unpred_future_study",7,4
"VB015","32","unpred_future_work",6,5
"VB015","33","unpred_future_family",9,2
"VB015","34","unpred_future_friends",9,2
"VB016","28","unpred_life_1_year",5,6
"VB016","29","unpred_future_general",3,8
"VB016","30","unpred_future_economy",2,9
"VB016","31","unpred_future_study",4,7
"VB016","32","unpred_future_work",4,7
"VB016","33","unpred_future_family",5,6
"VB016","34","unpred_future_friends",5,6
"VB017","28","unpred_life_1_year",4,7
"VB017","29","unpred_future_general",4,7
"VB017","30","unpred_future_economy",4,7
"VB017","31","unpred_future_study",6,5
"VB017","32","unpred_future_work",4,7
"VB017","33","unpred_future_family",10,1
"VB017","34","unpred_future_friends",7,4
"VB018","28","unpred_life_1_year",6,5
"VB018","29","unpred_future_general",4,7
"VB018","30","unpred_future_economy",6,5
"VB018","31","unpred_future_study",6,5
"VB018","32","unpred_future_work",9,2
"VB018","33","unpred_future_family",9,2
"VB018","34","unpred_future_friends",7,4
"VB019","28","unpred_life_1_year",6,5
"VB019","29","unpred_future_general",5,6
"VB019","30","unpred_future_economy",3,8
"VB019","31","unpred_future_study",9,2
"VB019","32","unpred_future_work",3,8
"VB019","33","unpred_future_family",8,3
"VB019","34","unpred_future_friends",4,7
"VB020","28","unpred_life_1_year",8,3
"VB020","29","unpred_future_general",8,3
"VB020","30","unpred_future_economy",9,2
"VB020","31","unpred_future_study",7,4
"VB020","32","unpred_future_work",9,2
"VB020","33","unpred_future_family",9,2
"VB020","34","unpred_future_friends",7,4
"VB021","28","unpred_life_1_year",7,4
"VB021","29","unpred_future_general",5,6
"VB021","30","unpred_future_economy",5,6
"VB021","31","unpred_future_study",5,6
"VB021","32","unpred_future_work",5,6
"VB021","33","unpred_future_family",7,4
"VB021","34","unpred_future_friends",7,4
"VB022","28","unpred_life_1_year",5,6
"VB022","29","unpred_future_general",9,2
"VB022","30","unpred_future_economy",8,3
"VB022","31","unpred_future_study",8,3
"VB022","32","unpred_future_work",4,7
"VB022","33","unpred_future_family",7,4
"VB022","34","unpred_future_friends",7,4
"VB023","28","unpred_life_1_year",7,4
"VB023","29","unpred_future_general",8,3
"VB023","30","unpred_future_economy",6,5
"VB023","31","unpred_future_study",5,6
"VB023","32","unpred_future_work",8,3
"VB023","33","unpred_future_family",9,2
"VB023","34","unpred_future_friends",5,6
"VB024","28","unpred_life_1_year",8,3
"VB024","29","unpred_future_general",8,3
"VB024","30","unpred_future_economy",5,6
"VB024","31","unpred_future_study",9,2
"VB024","32","unpred_future_work",7,4
"VB024","33","unpred_future_family",10,1
"VB024","34","unpred_future_friends",10,1
"VB025","28","unpred_life_1_year",8,3
"VB025","29","unpred_future_general",8,3
"VB025","30","unpred_future_economy",8,3
"VB025","31","unpred_future_study",8,3
"VB025","32","unpred_future_work",7,4
"VB025","33","unpred_future_family",10,1
"VB025","34","unpred_future_friends",10,1
"VB026","28","unpred_life_1_year",6,5
"VB026","29","unpred_future_general",6,5
"VB026","30","unpred_future_economy",5,6
"VB026","31","unpred_future_study",6,5
"VB026","32","unpred_future_work",8,3
"VB026","33","unpred_future_family",6,5
"VB026","34","unpred_future_friends",8,3
"VB027","28","unpred_life_1_year",5,6
"VB027","29","unpred_future_general",7,4
"VB027","30","unpred_future_economy",5,6
"VB027","31","unpred_future_study",8,3
"VB027","32","unpred_future_work",4,7
"VB027","33","unpred_future_family",10,1
"VB027","34","unpred_future_friends",9,2
"VB0555","28","unpred_life_1_year",4,7
"VB0555","29","unpred_future_general",5,6
"VB0555","30","unpred_future_economy",5,6
"VB0555","31","unpred_future_study",7,4
"VB0555","32","unpred_future_work",7,4
"VB0555","33","unpred_future_family",8,3
"VB0555","34","unpred_future_friends",7,4
"VB556","28","unpred_life_1_year",9,2
"VB556","29","unpred_future_general",8,3
"VB556","30","unpred_future_economy",9,2
"VB556","31","unpred_future_study",8,3
"VB556","32","unpred_future_work",9,2
"VB556","33","unpred_future_family",9,2
"VB556","34","unpred_future_friends",9,2
"VB030","28","unpred_life_1_year",1,10
"VB030","29","unpred_future_general",1,10
"VB030","30","unpred_future_economy",1,10
"VB030","31","unpred_future_study",1,10
"VB030","32","unpred_future_work",1,10
"VB030","33","unpred_future_family",1,10
"VB030","34","unpred_future_friends",1,10
"VB031","28","unpred_life_1_year",10,1
"VB031","29","unpred_future_general",6,5
"VB031","30","unpred_future_economy",5,6
"VB031","31","unpred_future_study",8,3
"VB031","32","unpred_future_work",7,4
"VB031","33","unpred_future_family",7,4
"VB031","34","unpred_future_friends",10,1
"VB032","28","unpred_life_1_year",7,4
"VB032","29","unpred_future_general",7,4
"VB032","30","unpred_future_economy",6,5
"VB032","31","unpred_future_study",7,4
"VB032","32","unpred_future_work",5,6
"VB032","33","unpred_future_family",9,2
"VB032","34","unpred_future_friends",8,3
"VB033","28","unpred_life_1_year",8,3
"VB033","29","unpred_future_general",5,6
"VB033","30","unpred_future_economy",5,6
"VB033","31","unpred_future_study",7,4
"VB033","32","unpred_future_work",8,3
"VB033","33","unpred_future_family",10,1
"VB033","34","unpred_future_friends",7,4
"VB034","28","unpred_life_1_year",5,6
"VB034","29","unpred_future_general",5,6
"VB034","30","unpred_future_economy",5,6
"VB034","31","unpred_future_study",8,3
"VB034","32","unpred_future_work",6,5
"VB034","33","unpred_future_family",9,2
"VB034","34","unpred_future_friends",5,6
"VB035","28","unpred_life_1_year",10,1
"VB035","29","unpred_future_general",7,4
"VB035","30","unpred_future_economy",6,5
"VB035","31","unpred_future_study",10,1
"VB035","32","unpred_future_work",9,2
"VB035","33","unpred_future_family",5,6
"VB035","34","unpred_future_friends",1,10
"VB036","28","unpred_life_1_year",7,4
"VB036","29","unpred_future_general",6,5
"VB036","30","unpred_future_economy",5,6
"VB036","31","unpred_future_study",8,3
"VB036","32","unpred_future_work",6,5
"VB036","33","unpred_future_family",9,2
"VB036","34","unpred_future_friends",7,4
"VB037","28","unpred_life_1_year",4,7
"VB037","29","unpred_future_general",5,6
"VB037","30","unpred_future_economy",4,7
"VB037","31","unpred_future_study",3,8
"VB037","32","unpred_future_work",4,7
"VB037","33","unpred_future_family",6,5
"VB037","34","unpred_future_friends",3,8
"VB038","28","unpred_life_1_year",5,6
"VB038","29","unpred_future_general",4,7
"VB038","30","unpred_future_economy",4,7
"VB038","31","unpred_future_study",3,8
"VB038","32","unpred_future_work",2,9
"VB038","33","unpred_future_family",10,1
"VB038","34","unpred_future_friends",2,9
"VB039","28","unpred_life_1_year",3,8
"VB039","29","unpred_future_general",4,7
"VB039","30","unpred_future_economy",4,7
"VB039","31","unpred_future_study",3,8
"VB039","32","unpred_future_work",4,7
"VB039","33","unpred_future_family",6,5
"VB039","34","unpred_future_friends",3,8
"VB040","28","unpred_life_1_year",6,5
"VB040","29","unpred_future_general",5,6
"VB040","30","unpred_future_economy",4,7
"VB040","31","unpred_future_study",5,6
"VB040","32","unpred_future_work",3,8
"VB040","33","unpred_future_family",6,5
"VB040","34","unpred_future_friends",6,5
"VB041","28","unpred_life_1_year",6,5
"VB041","29","unpred_future_general",5,6
"VB041","30","unpred_future_economy",4,7
"VB041","31","unpred_future_study",6,5
"VB041","32","unpred_future_work",5,6
"VB041","33","unpred_future_family",4,7
"VB041","34","unpred_future_friends",3,8
"VB042","28","unpred_life_1_year",4,7
"VB042","29","unpred_future_general",4,7
"VB042","30","unpred_future_economy",6,5
"VB042","31","unpred_future_study",4,7
"VB042","32","unpred_future_work",8,3
"VB042","33","unpred_future_family",8,3
"VB042","34","unpred_future_friends",6,5
"VB043","28","unpred_life_1_year",5,6
"VB043","29","unpred_future_general",6,5
"VB043","30","unpred_future_economy",3,8
"VB043","31","unpred_future_study",3,8
"VB043","32","unpred_future_work",5,6
"VB043","33","unpred_future_family",8,3
"VB043","34","unpred_future_friends",9,2
"VB044","28","unpred_life_1_year",9,2
"VB044","29","unpred_future_general",5,6
"VB044","30","unpred_future_economy",10,1
"VB044","31","unpred_future_study",1,10
"VB044","32","unpred_future_work",10,1
"VB044","33","unpred_future_family",9,2
"VB044","34","unpred_future_friends",7,4
"VB045","28","unpred_life_1_year",8,3
"VB045","29","unpred_future_general",7,4
"VB045","30","unpred_future_economy",8,3
"VB045","31","unpred_future_study",5,6
"VB045","32","unpred_future_work",7,4
"VB045","33","unpred_future_family",4,7
"VB045","34","unpred_future_friends",6,5
"VB046","28","unpred_life_1_year",10,1
"VB046","29","unpred_future_general",10,1
"VB046","30","unpred_future_economy",10,1
"VB046","31","unpred_future_study",10,1
"VB046","32","unpred_future_work",10,1
"VB046","33","unpred_future_family",10,1
"VB046","34","unpred_future_friends",10,1
"VB047","28","unpred_life_1_year",4,7
"VB047","29","unpred_future_general",5,6
"VB047","30","unpred_future_economy",3,8
"VB047","31","unpred_future_study",2,9
"VB047","32","unpred_future_work",4,7
"VB047","33","unpred_future_family",7,4
"VB047","34","unpred_future_friends",6,5
"VB049","28","unpred_life_1_year",8,3
"VB049","29","unpred_future_general",8,3
"VB049","30","unpred_future_economy",6,5
"VB049","31","unpred_future_study",7,4
"VB049","32","unpred_future_work",7,4
"VB049","33","unpred_future_family",9,2
"VB049","34","unpred_future_friends",5,6
"VB050","28","unpred_life_1_year",2,9
"VB050","29","unpred_future_general",3,8
"VB050","30","unpred_future_economy",1,10
"VB050","31","unpred_future_study",4,7
"VB050","32","unpred_future_work",1,10
"VB050","33","unpred_future_family",4,7
"VB050","34","unpred_future_friends",6,5
"VB051","28","unpred_life_1_year",2,9
"VB051","29","unpred_future_general",1,10
"VB051","30","unpred_future_economy",5,6
"VB051","31","unpred_future_study",6,5
"VB051","32","unpred_future_work",4,7
"VB051","33","unpred_future_family",9,2
"VB051","34","unpred_future_friends",2,9
"VB052","28","unpred_life_1_year",10,1
"VB052","29","unpred_future_general",10,1
"VB052","30","unpred_future_economy",10,1
"VB052","31","unpred_future_study",10,1
"VB052","32","unpred_future_work",6,5
"VB052","33","unpred_future_family",10,1
"VB052","34","unpred_future_friends",3,8
"VB053","28","unpred_life_1_year",7,4
"VB053","29","unpred_future_general",6,5
"VB053","30","unpred_future_economy",3,8
"VB053","31","unpred_future_study",7,4
"VB053","32","unpred_future_work",5,6
"VB053","33","unpred_future_family",9,2
"VB053","34","unpred_future_friends",7,4
"VB054","28","unpred_life_1_year",9,2
"VB054","29","unpred_future_general",8,3
"VB054","30","unpred_future_economy",6,5
"VB054","31","unpred_future_study",8,3
"VB054","32","unpred_future_work",6,5
"VB054","33","unpred_future_family",9,2
"VB054","34","unpred_future_friends",8,3
"VB055","28","unpred_life_1_year",1,10
"VB055","29","unpred_future_general",5,6
"VB055","30","unpred_future_economy",7,4
"VB055","31","unpred_future_study",7,4
"VB055","32","unpred_future_work",7,4
"VB055","33","unpred_future_family",7,4
"VB055","34","unpred_future_friends",4,7
"VB056","28","unpred_life_1_year",8,3
"VB056","29","unpred_future_general",5,6
"VB056","30","unpred_future_economy",5,6
"VB056","31","unpred_future_study",8,3
"VB056","32","unpred_future_work",8,3
"VB056","33","unpred_future_family",1,10
"VB056","34","unpred_future_friends",1,10
"VB057","28","unpred_life_1_year",3,8
"VB057","29","unpred_future_general",3,8
"VB057","30","unpred_future_economy",6,5
"VB057","31","unpred_future_study",3,8
"VB057","32","unpred_future_work",3,8
"VB057","33","unpred_future_family",10,1
"VB057","34","unpred_future_friends",1,10
"VB058","28","unpred_life_1_year",7,4
"VB058","29","unpred_future_general",7,4
"VB058","30","unpred_future_economy",6,5
"VB058","31","unpred_future_study",6,5
"VB058","32","unpred_future_work",7,4
"VB058","33","unpred_future_family",10,1
"VB058","34","unpred_future_friends",8,3
"VB059","28","unpred_life_1_year",8,3
"VB059","29","unpred_future_general",8,3
"VB059","30","unpred_future_economy",5,6
"VB059","31","unpred_future_study",10,1
"VB059","32","unpred_future_work",9,2
"VB059","33","unpred_future_family",7,4
"VB059","34","unpred_future_friends",5,6
"VB060","28","unpred_life_1_year",5,6
"VB060","29","unpred_future_general",6,5
"VB060","30","unpred_future_economy",3,8
"VB060","31","unpred_future_study",7,4
"VB060","32","unpred_future_work",7,4
"VB060","33","unpred_future_family",9,2
"VB060","34","unpred_future_friends",8,3
