"ID","society_ladder"
"VB007",8
"VB008",5
"VB009",5
"VB010",5
"VB011",6
"VB012",6
"VB013",5
"VB014",3
"VB015",5
"VB016",5
"VB017",6
"VB018",5
"VB019",6
"VB020",8
"VB021",5
"VB022",5
"VB023",4
"VB024",5
"VB025",8
"VB026",8
"VB027",6
"VB029",6
"VB028",8
"VB030",5
"VB031",8
"VB032",4
"VB033",7
"VB034",6
"VB035",5
"VB036",7
"VB037",6
"VB038",6
"VB039",6
"VB040",5
"VB041",7
"VB042",7
"VB043",6
"VB044",9
"VB045",6
"VB046",10
"VB047",7
"VB049",7
"VB050",6
"VB051",4
"VB052",6
"VB053",3
"VB054",5
"VB055",6
"VB056",4
"VB057",6
"VB058",6
"VB059",6
"VB060",4
