"item_name","item_text"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
"esfuerzo_es_suficiente","39. ¿En una escala del 1 al 5 (siendo 1 nada de acuerdo y 5 totalmente de acuerdo): “Creo que el esfuerzo personal es suficiente para lograr mis objetivos”"
"sosten_economico_carrera","40 ¿Cuán probable es que puedas sostener económicamente estudiar una carrera?"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
"esfuerzo_es_suficiente","39. ¿En una escala del 1 al 5 (siendo 1 nada de acuerdo y 5 totalmente de acuerdo): “Creo que el esfuerzo personal es suficiente para lograr mis objetivos”"
"sosten_economico_carrera","40 ¿Cuán probable es que puedas sostener económicamente estudiar una carrera?"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
"esfuerzo_es_suficiente","39. ¿En una escala del 1 al 5 (siendo 1 nada de acuerdo y 5 totalmente de acuerdo): “Creo que el esfuerzo personal es suficiente para lograr mis objetivos”"
"sosten_economico_carrera","40 ¿Cuán probable es que puedas sostener económicamente estudiar una carrera?"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
"esfuerzo_es_suficiente","39. ¿En una escala del 1 al 5 (siendo 1 nada de acuerdo y 5 totalmente de acuerdo): “Creo que el esfuerzo personal es suficiente para lograr mis objetivos”"
"sosten_economico_carrera","40 ¿Cuán probable es que puedas sostener económicamente estudiar una carrera?"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
"esfuerzo_es_suficiente","39. ¿En una escala del 1 al 5 (siendo 1 nada de acuerdo y 5 totalmente de acuerdo): “Creo que el esfuerzo personal es suficiente para lograr mis objetivos”"
"sosten_economico_carrera","40 ¿Cuán probable es que puedas sostener económicamente estudiar una carrera?"
"probable_continuar_estudios","1.a. ¿Cuán probable es que continúes los estudios superiores al terminar la secundaria?"
"estudiar_vale_la_pena","3. En una escala del 1 al 10 ¿Cuán identificado te sentís con la frase: ”Siento que estudiar vale la pena”"
"considera_trabajar","4. ¿Considerás necesario trabajar inmediatamente al egresar?"
"probabilidad_cambiar_planes","35.a ¿Hasta qué punto creés que sea probable que tengas que cambiar tus planes de carrera y/o trabajo a futuro?"
"probabilidad_carrera_no_gusta","36 ¿Cuán probable es que elijas una carrera que no te gusta tanto, pero que te dé estabilidad económica?"
"influencia_situacion_pais","37. ¿Cuánto sentís que influye la situación social y económica del país en tu decisión vocacional/laboral?"
