"ID","item_name","response"
"VB007","probable_continuar_estudios",10
"VB007","estudiar_vale_la_pena",7
"VB007","considera_trabajar",0
"VB007","probabilidad_cambiar_planes",1
"VB007","probabilidad_carrera_no_gusta",10
"VB007","influencia_situacion_pais",3
"VB007","esfuerzo_es_suficiente",5
"VB007","sosten_economico_carrera",8
"VB008","probable_continuar_estudios",10
"VB008","estudiar_vale_la_pena",9
"VB008","considera_trabajar",1
"VB008","probabilidad_cambiar_planes",2
"VB008","probabilidad_carrera_no_gusta",2
"VB008","influencia_situacion_pais",8
"VB008","esfuerzo_es_suficiente",5
"VB008","sosten_economico_carrera",8
"VB009","probable_continuar_estudios",9
"VB009","estudiar_vale_la_pena",9
"VB009","considera_trabajar",1
"VB009","probabilidad_cambiar_planes",4
"VB009","probabilidad_carrera_no_gusta",6
"VB009","influencia_situacion_pais",10
"VB009","esfuerzo_es_suficiente",4
"VB009","sosten_economico_carrera",8
"VB010","probable_continuar_estudios",9
"VB010","estudiar_vale_la_pena",7
"VB010","considera_trabajar",0
"VB010","probabilidad_cambiar_planes",8
"VB010","probabilidad_carrera_no_gusta",3
"VB010","influencia_situacion_pais",7
"VB010","esfuerzo_es_suficiente",4
"VB010","sosten_economico_carrera",8
"VB011","probable_continuar_estudios",7
"VB011","estudiar_vale_la_pena",8
"VB011","considera_trabajar",1
"VB011","probabilidad_cambiar_planes",7
"VB011","probabilidad_carrera_no_gusta",5
"VB011","influencia_situacion_pais",10
"VB011","esfuerzo_es_suficiente",5
"VB011","sosten_economico_carrera",5
"VB012","probable_continuar_estudios",10
"VB012","estudiar_vale_la_pena",10
"VB012","considera_trabajar",0
"VB012","probabilidad_cambiar_planes",7
"VB012","probabilidad_carrera_no_gusta",8
"VB012","influencia_situacion_pais",10
"VB012","esfuerzo_es_suficiente",5
"VB012","sosten_economico_carrera",6
"VB013","probable_continuar_estudios",7
"VB013","estudiar_vale_la_pena",7
"VB013","considera_trabajar",0
"VB013","probabilidad_cambiar_planes",3
"VB013","probabilidad_carrera_no_gusta",8
"VB013","influencia_situacion_pais",10
"VB013","esfuerzo_es_suficiente",4
"VB013","sosten_economico_carrera",9
"VB014","probable_continuar_estudios",5
"VB014","estudiar_vale_la_pena",6
"VB014","considera_trabajar",1
"VB014","probabilidad_cambiar_planes",4
"VB014","probabilidad_carrera_no_gusta",7
"VB014","influencia_situacion_pais",8
"VB014","esfuerzo_es_suficiente",4
"VB014","sosten_economico_carrera",4
"VB015","probable_continuar_estudios",9
"VB015","estudiar_vale_la_pena",9
"VB015","considera_trabajar",1
"VB015","probabilidad_cambiar_planes",9
"VB015","probabilidad_carrera_no_gusta",8
"VB015","influencia_situacion_pais",10
"VB015","esfuerzo_es_suficiente",5
"VB015","sosten_economico_carrera",8
"VB016","probable_continuar_estudios",8
"VB016","estudiar_vale_la_pena",5
"VB016","considera_trabajar",0
"VB016","probabilidad_cambiar_planes",6
"VB016","probabilidad_carrera_no_gusta",8
"VB016","influencia_situacion_pais",8
"VB016","esfuerzo_es_suficiente",4
"VB016","sosten_economico_carrera",7
"VB017","probable_continuar_estudios",7
"VB017","estudiar_vale_la_pena",8
"VB017","considera_trabajar",0
"VB017","probabilidad_cambiar_planes",6
"VB017","probabilidad_carrera_no_gusta",7
"VB017","influencia_situacion_pais",8
"VB017","esfuerzo_es_suficiente",5
"VB017","sosten_economico_carrera",7
"VB018","probable_continuar_estudios",9
"VB018","estudiar_vale_la_pena",5
"VB018","considera_trabajar",1
"VB018","probabilidad_cambiar_planes",9
"VB018","probabilidad_carrera_no_gusta",8
"VB018","influencia_situacion_pais",10
"VB018","esfuerzo_es_suficiente",5
"VB018","sosten_economico_carrera",8
"VB019","probable_continuar_estudios",10
"VB019","estudiar_vale_la_pena",10
"VB019","considera_trabajar",0
