"","ID","gender","birth_date","age_months","age_years","max_educ_level_mother","max_educ_level_father","max_educ_level_mother_num","max_educ_level_father_num","society_ladder","unpred_life_1_year","unpred_future_general","unpred_future_economy","unpred_future_study","unpred_future_work","unpred_future_family","unpred_future_friends","probable_continuar_estudios","estudiar_vale_la_pena","considera_trabajar","probabilidad_cambiar_planes","probabilidad_carrera_no_gusta","influencia_situacion_pais","esfuerzo_es_suficiente","sosten_economico_carrera","CIP_01_decision","CIP_02","CIP_CC_score","CIP_LR_score","CIP_IC_score","CIP_NNA_score"
"1","VB007","Masculino","2008-08-22",215,17.9315068493151,"Secundario completo","Secundario incompleto",4,3,8,3,3,2,3,3,4,4,10,7,0,1,10,3,5,8,5,3,11,24,12,6
"2","VB008","Masculino","2008-11-11",212,17.7095890410959,"Universitario completo","Secundario completo",9,4,5,2,3,2,3,1,1,2,10,9,1,2,2,8,5,8,6,3,7,25,10,6
"3","VB009","Masculino","2009-02-05",209,17.4739726027397,"Secundario incompleto","Secundario completo",3,4,5,7,7,7,4,6,2,4,9,9,1,4,6,10,4,8,3,5,16,19,6,11
"4","VB010","Femenino","2008-08-12",215,17.958904109589,"Secundario incompleto","Secundario completo",3,4,5,7,9,5,3,8,3,4,9,7,0,8,3,7,4,8,5,3,21,15,6,21
"5","VB011","Masculino","2009-05-30",205,17.1616438356164,"Secundario completo","Secundario completo",4,4,6,7,7,5,6,6,2,4,7,8,1,7,5,10,5,5,2,5,20,19,5,19
"6","VB012","Femenino","2009-03-10",208,17.3835616438356,"Universitario completo","Secundario incompleto",9,3,6,4,5,4,5,6,2,2,10,10,0,7,8,10,5,6,3,6,21,22,5,18
"7","VB013","Masculino","2009-06-05",205,17.1452054794521,"Posgrado incompleto","Universitario incompleto",10,8,5,10,6,6,6,5,2,3,7,7,0,3,8,10,4,9,1,4,12,14,6,16
"8","VB014","Masculino","2008-09-20",214,17.8520547945205,"Secundario completo","Universitario completo",4,9,3,9,8,9,9,10,7,7,5,6,1,4,7,8,4,4,2,4,19,16,6,11
"9","VB015","Masculino","2009-01-18",210,17.5232876712329,"Universitario completo","Universitario completo",9,9,5,4,5,6,4,5,2,2,9,9,1,9,8,10,5,8,5,6,12,24,5,25
"10","VB016","Masculino","2008-07-27",216,18.0027397260274,"Universitario completo","Secundario completo",9,4,5,6,8,9,7,7,6,6,8,5,0,6,8,8,4,7,4,6,24,13,6,24
"11","VB017","Femenino","2009-05-22",206,17.1835616438356,"Secundario completo","Secundario completo",4,4,6,7,7,7,5,7,1,4,7,8,0,6,7,8,5,7,3,4,24,18,8,11
"12","VB018","Femenino","2009-04-03",207,17.3178082191781,"Secundario completo","Secundario incompleto",4,3,5,5,7,5,5,2,2,4,9,5,1,9,8,10,5,8,5,5,19,17,12,20
"13","VB019","Femenino","2008-07-07",216,18.0575342465753,"Secundario incompleto","Universitario incompleto",3,8,6,5,6,8,2,8,3,7,10,10,0,5,4,8,3,8,5,6,16,19,10,12
"14","VB020","Femenino","2008-09-04",214,17.8958904109589,"Universitario completo","Universitario completo",9,9,8,3,3,2,4,2,2,4,10,10,0,4,6,8,4,7,3,6,20,20,5,14
"15","VB021","Femenino","2008-11-25",212,17.6712328767123,"Terciario en curso","Universitario incompleto",7,8,5,4,6,6,6,6,4,4,9,8,1,6,8,5,5,8,4,6,22,18,7,19
"16","VB022","Femenino","2009-01-17",210,17.5260273972603,"Secundario completo","Secundario completo",4,4,5,6,2,3,3,7,4,4,8,8,0,6,8,5,4,8,4,3,13,15,5,10
"17","VB023","Femenino","2008-09-12",214,17.8739726027397,"Secundario completo","Secundario completo",4,4,4,4,3,5,6,3,2,6,10,7,1,7,7,8,5,7,2,4,20,19,10,23
"18","VB024","Femenino","2009-01-27",210,17.4986301369863,"Secundario incompleto","Secundario incompleto",3,3,5,3,3,6,2,4,1,1,10,10,1,1,8,10,5,7,6,6,15,23,8,24
"19","VB025","Femenino","2008-07-19",216,18.0246575342466,"Universitario incompleto","Universitario incompleto",8,8,8,3,3,3,3,4,1,1,10,10,1,4,9,9,5,9,5,6,22,24,5,19
"20","VB026","Femenino","2009-04-15",207,17.2849315068493,"Secundario completo","Secundario incompleto",4,3,8,5,5,6,5,3,5,3,10,10,0,5,4,8,4,9,5,6,19,18,5,23
"21","VB027","Masculino","2009-04-06",207,17.3095890410959,"Universitario incompleto","Secundario completo",8,4,6,6,4,6,3,7,1,2,9,10,0,5,5,7,5,5,3,5,21,21,10,11
"22","VB029","Masculino","2008-12-29",210,17.5780821917808,"Secundario completo","Secundario completo",4,4,6,7,6,6,4,4,3,4,7,9,0,3,6,8,5,7,4,3,20,24,12,11
"23","VB028","Masculino","2008-07-07",216,18.0575342465753,"Secundario completo","Universitario incompleto",4,8,8,2,3,2,3,2,2,2,8,8,1,6,8,9,5,9,5,5,18,22,16,7
"24","VB030","Masculino","2009-04-14",207,17.2876712328767,"Primario completo","Secundario incompleto",2,3,5,10,10,10,10,10,10,10,6,6,1,5,7,7,4,8,4,3,16,22,7,12
"25","VB031","Masculino","2008-11-08",212,17.7178082191781,"Universitario completo","Universitario completo",9,9,8,1,5,6,3,4,4,1,10,10,0,10,1,1,5,7,6,6,19,19,13,10
"26","VB032","Masculino","2009-04-21",207,17.2684931506849,"Secundario incompleto","Primario completo",3,2,4,4,4,5,4,6,2,3,8,8,0,10,3,3,5,7,3,3,18,20,5,11
"27","VB033","Masculino","2009-04-15",207,17.2849315068493,"Secundario incompleto","Primario completo",3,2,7,3,6,6,4,3,1,4,10,6,1,4,4,1,5,7,5,3,13,25,6,6
"28","VB034","Masculino","2008-07-07",216,18.0575342465753,"Secundario completo","Universitario incompleto",4,8,6,6,6,6,3,5,2,6,9,8,1,7,3,7,5,5,5,6,12,19,6,10
"29","VB035","Femenino","2008-08-08",215,17.9698630136986,"Terciario en curso","Secundario completo",7,4,5,1,4,5,1,2,6,10,10,10,1,4,1,4,5,1,5,4,12,24,9,25
"30","VB036","Femenino","2009-02-07",209,17.4684931506849,"Universitario completo","Posgrado completo",9,11,7,4,5,6,3,5,2,4,9,10,0,9,3,8,5,9,5,6,18,21,5,5
"31","VB037","Femenino","2008-12-01",211,17.6547945205479,"Terciario en curso","Secundario incompleto",7,3,6,7,6,7,8,7,5,8,10,8,1,4,6,8,4,4,2,5,18,19,5,14
"32","VB038","Femenino","2008-10-15",213,17.7835616438356,"Secundario completo","Secundario completo",4,4,6,6,7,7,8,9,1,9,9,10,0,4,6,5,5,10,1,6,20,21,5,18
"33","VB039","Femenino","2008-09-02",214,17.9013698630137,"Secundario incompleto","Secundario completo",3,4,6,8,7,7,8,7,5,8,9,7,1,3,2,3,3,6,1,5,17,20,5,20
"34","VB040","Femenino","2009-02-17",209,17.441095890411,"Terciario en curso","Secundario completo",7,4,5,5,6,7,6,8,5,5,10,9,0,6,4,5,3,5,6,5,19,19,6,13
"35","VB041","Femenino","2009-01-22",210,17.5123287671233,"Secundario completo","Secundario completo",4,4,7,5,6,7,5,6,7,8,10,8,1,2,9,8,5,4,4,6,22,22,11,22
"36","VB042","Masculino","2008-12-18",211,17.6082191780822,"Secundario completo","Secundario incompleto",4,3,7,7,7,5,7,3,3,5,7,5,1,7,9,6,5,5,2,5,19,19,8,25
"37","VB043","Masculino","2009-06-11",205,17.1287671232877,"Secundario completo","Primario completo",4,2,6,6,5,8,8,6,3,2,2,6,1,6,7,8,5,5,3,5,14,19,5,16
"38","VB044","Masculino","2009-06-18",205,17.1095890410959,"Universitario completo","Secundario completo",9,4,9,2,6,1,10,1,2,4,1,4,1,1,10,6,5,1,3,6,12,23,20,6
"39","VB045","Masculino","2008-07-10",216,18.0493150684932,"Secundario completo","Secundario incompleto",4,3,6,3,4,3,6,4,7,5,4,6,1,10,7,6,5,7,6,5,16,22,5,15
"40","VB046","Masculino","2008-11-26",212,17.6684931506849,"Universitario completo","Universitario incompleto",9,8,10,1,1,1,1,1,1,1,10,10,1,10,10,10,5,10,6,5,19,21,22,23
"41","VB047","Masculino","2008-11-04",212,17.7287671232877,"Secundario incompleto","Secundario completo",3,4,7,7,6,8,9,7,4,5,6,5,1,4,7,9,4,6,3,4,21,22,10,19
"42","VB049","Femenino","2009-03-16",208,17.3671232876712,"Secundario completo","Universitario incompleto",4,8,7,3,3,5,4,4,2,6,9,6,1,6,7,10,5,7,5,3,20,23,9,19
"43","VB050","Femenino","2008-09-19",214,17.8547945205479,"Universitario completo","Secundario incompleto",9,3,6,9,8,10,7,10,7,5,9,8,0,8,5,9,2,8,1,6,23,18,10,17
"44","VB051","Prefiero no decirlo","2009-03-06",208,17.3945205479452,"Secundario incompleto","Secundario incompleto",3,3,4,9,10,6,5,7,2,9,6,3,1,7,10,8,4,6,1,4,18,18,5,23
"45","VB052","No binario","2009-05-18",206,17.1945205479452,"Terciario en curso","Posgrado incompleto",7,10,6,1,1,1,1,5,1,8,1,1,1,8,10,10,5,5,1,1,18,15,10,6
"46","VB053","Femenino","2009-05-18",206,17.1945205479452,"Universitario completo","Universitario completo",9,9,3,4,5,8,4,6,2,4,10,10,1,4,2,9,4,5,2,4,13,17,5,21
"47","VB054","Femenino","2009-04-25",207,17.2575342465753,"Secundario incompleto","Universitario incompleto",3,8,5,2,3,5,3,5,2,3,9,8,0,1,2,5,5,5,5,1,12,17,9,15
"48","VB055","Femenino","2009-04-15",207,17.2849315068493,"Universitario incompleto","Secundario completo",8,4,6,10,6,4,4,4,4,7,6,6,1,10,7,9,5,1,2,5,19,23,22,21
"49","VB056","Femenino","2008-12-14",211,17.6191780821918,"Secundario incompleto","Secundario incompleto",3,3,4,3,6,6,3,3,10,10,10,10,1,8,5,9,5,9,5,6,18,22,5,22
"50","VB057","Femenino","2008-10-29",212,17.7452054794521,"Terciario en curso","Secundario completo",7,4,6,8,8,5,8,8,1,10,10,10,0,9,10,8,3,7,1,4,22,17,5,22
"51","VB058","Femenino","2008-12-04",211,17.6465753424658,"Terciario en curso","Secundario completo",7,4,6,4,4,5,5,4,1,3,9,9,1,5,6,5,5,6,5,4,20,21,5,18
"52","VB059","Femenino","2009-01-06",210,17.5561643835616,"Primario completo","Primario completo",2,2,6,3,3,6,1,2,4,6,10,9,1,10,5,2,5,9,6,1,6,23,5,21
"53","VB060","Femenino","2009-03-10",208,17.3835616438356,"Universitario incompleto","Secundario completo",8,4,4,6,5,8,4,4,2,3,10,10,1,4,9,10,4,6,2,6,20,21,16,22
